DestinationID,Name,State,Type,Popularity,BestTimeToVisit,HotelName,HotelPricePerNight
1,Taj Mahal,Uttar Pradesh,Historical,8.691906258695031,Nov-Feb,Mughal View Resort,2258
2,Goa Beaches,Goa,Beach,8.605031858363876,Nov-Mar,Goa Beach Resort,5446
3,Jaipur City,Rajasthan,City,9.225372007612826,Oct-Mar,Jaipur Grand Hotel,2042
4,Kerala Backwaters,Kerala,Nature,7.9773855361057935,Sep-Mar,Kerala Nature Retreat,4790
5,Leh Ladakh,Jammu and Kashmir,Adventure,8.399821878316247,Apr-Jun,Himalayan View Resort,3563
6,Taj Mahal,Uttar Pradesh,Historical,7.6489495441529245,Nov-Feb,Taj Heritage Hotel,1728
7,Goa Beaches,Goa,Beach,9.14506834197403,Nov-Mar,Ocean View Goa Hotel,5095
8,Jaipur City,Rajasthan,City,9.4587045393854,Oct-Mar,Pink City Heritage Hotel,2719
9,Kerala Backwaters,Kerala,Nature,9.260450137338132,Sep-Mar,Kerala Nature Retreat,3446
10,Leh Ladakh,Jammu and Kashmir,Adventure,8.811952081678728,Apr-Jun,Snow Peak Resort,2505
11,Taj Mahal,Uttar Pradesh,Historical,8.17770928252728,Nov-Feb,Mughal View Resort,1967
12,Goa Beaches,Goa,Beach,8.084317505906522,Nov-Mar,Ocean View Goa Hotel,4255
13,Jaipur City,Rajasthan,City,9.114721643188815,Oct-Mar,Royal Rajasthan Palace,1874
14,Kerala Backwaters,Kerala,Nature,8.551426230833268,Sep-Mar,Kerala Nature Retreat,2203
15,Leh Ladakh,Jammu and Kashmir,Adventure,9.297389086740504,Apr-Jun,Kashmir Valley Hotel,4370
16,Taj Mahal,Uttar Pradesh,Historical,8.337332881983857,Nov-Feb,Taj Heritage Hotel,2145
17,Goa Beaches,Goa,Beach,7.524150401549511,Nov-Mar,Palm Paradise Resort,2617
18,Jaipur City,Rajasthan,City,8.332572923728481,Oct-Mar,Pink City Heritage Hotel,3429
19,Kerala Backwaters,Kerala,Nature,9.01709023649701,Sep-Mar,Coconut Grove Hotel,4751
20,Leh Ladakh,Jammu and Kashmir,Adventure,8.930902395039807,Apr-Jun,Kashmir Valley Hotel,4521
21,Taj Mahal,Uttar Pradesh,Historical,9.321865627407217,Nov-Feb,Taj Heritage Hotel,2446
22,Goa Beaches,Goa,Beach,7.745073501266791,Nov-Mar,Goa Beach Resort,5121
23,Jaipur City,Rajasthan,City,7.883349652185746,Oct-Mar,Pink City Heritage Hotel,3264
